ΜΠΑΤΑΡΙΕΣ ENERGIZER D,2.2
ΜΠΑΤΑΡΙΕΣ PANASONIC AAA,1
ΜΠΑΤΑΡΙΕΣ ΣΤΡΟΓΓΥΛΕΣ,1
GILETTE ΞΥΡΑΦΑΚΙ,2
BIC ΞΥΡΑΦΑΚΙ,1.1
LOGO,2.3
ΣΕΛΟΤΕΪΠ,0.5
ASTOR ΛΕΠΙΔΕΣ,1
LIPTON ΜΠΟΥΚΑΛΙ ΔΙΑΦΟΡΑ,0.8
LIPTON ΜΠΟΥΚΑΛΙ ΛΕΜΟΝΙ,0.8
LIPTON ΜΠΟΥΚΑΛΙ ΡΟΔΑΚΙΝΟ,0.8
LIPTON ΜΠΟΥΚΑΛΙ ΠΡΑΣΙΝΟ,0.8
LIPTON ΚΟΥΤΑΚΙ ΔΙΑΦΟΡΑ,0.55
LIPTON ΚΟΥΤΑΚΙ ΡΟΔΑΚΙΝΟ,0.55
LIPTON ΚΟΥΤΑΚΙ ΛΕΜΟΝΙ,0.55
LIPTON ΚΟΥΤΑΚΙ ΠΡΑΣΙΝΟ,0.55
POWERADE ΔΙΑΦΟΡΑ,1.1
POWERADE ΜΠΛΕ,1.1
POWERADE ΚΟΚΚΙΝΟ,1.1
POWERADE ΠΡΑΣΙΝΟ,1.1
POWERADE ΠΟΡΤΟΚΑΛΙ,1.1
UHU ΚΟΛΛΑ,0.5
SCHWEPPES ΔΙΑΦΟΡΑ,0.7
SCHWEPPES ΠΟΡΤΟΚΑΛΙ,0.7
SCHWEPPES ΛΕΜΟΝΙ,0.7
SCHWEPPES ΠΡΑΣΙΝΟ,0.7
SCHWEPPES ΡΟΖ,0.7
SCHWEPPES ΑΣΗΜΙ ΣΟΔΑ,0.6
SCHWEPPES ΡΟΔΙ,0.7
COCA COLA,0.7
COCA COLA ZERO,0.7
COCA COLA LIGHT,0.7
COCA COLA ZERO ΛΕΜΟΝΙ,0.7
SPRITE,0.7
FANTA ΛΕΜΟΝΑΔΑ,0.7
FANTA ΠΟΡΤΟΚΑΛΑΔΑ,0.7
FANTA 500 ml ΔΙΑΦΟΡΕΣ,0.95
FANTA 500 ml ΝΕΑ,0.95
FANTA 500 ml ΠΡΑΣΙΝΗ,0.95
FANTA 500 ml ΜΠΛΕ,0.95
FANTA 500 ml ΕΡΩΤΗΜΑΤΙΚΟ,0.95
FANTA 500 ml ΒΑΤΟΜΟΥΡΟ,0.95
FANTA 500 ml ΜΑΝΤΑΡΙΝΙ,0.95
ΕΜΠΛΑΣΤΡΑ,2.8
LIPOSAN ΔΙΑΦΟΡΑ,1.9
LIPOSAN ΜΠΛΕ,1.9
LIPOSAN ΚΑΡΠΟΥΖΙ,1.9
LIPOSAN ΤΡΙΑΝΤΑΦΥΛΛΟ,1.9
LIPOSAN ΒΑΝΙΛΙΑ,1.9
LIPOSAN ΒΑΤΟΜΟΥΡΟ,1.9
LIPOSAN ΚΕΡΑΣΙ,1.9
LIPOSAN ΦΡΑΟΥΛΑ,1.9
ALWAYS ΣΕΡΒΙΕΤΕΣ,1.9
EVERYDAY ΣΕΡΒΙΕΤΕΣ,1.9
